ステージ管理人,Stage Manager
警備魔神兵０４３号,Aztech Guard No. 043
支援魔神機０２２号,Aztech Support Mech No. 022
警備魔神兵０４６号,Aztech Guard No. 046
警備魔神兵０４４号,Aztech Guard No. 044
支援魔神機０２１号,Aztech Support Mech No. 021
支援魔神機０２３号,Aztech Support Mech No. 023
支援魔神機０２５号,Aztech Support Mech No. 025
支援魔神機０２６号,Aztech Support Mech No. 026
支援魔神機０２４号,Aztech Support Mech No. 024
支援魔神機０２８号,Aztech Support Mech No. 028
警備魔神兵０４２号,Aztech Guard No. 042
警備魔神兵０４５号,Aztech Guard No. 045
警備魔神兵０４７号,Aztech Guard No. 047
工匠神グラッフ,Crafting God Graff
徒弟ティサン,Apprentice Tisan
観測者モルフェス,Observer Morpheus
サフラン,Saffron
ボダッチ,Bodatchi
お供えだんご,Offering Dumpling
ハホハハフ,Ha-Ho-Ha-Ha-Hu
ハホホフハ,Ha-Ho-Ho-Hu-Ha
ハホホハホ,Ha-Ho-Ho-Ha-Ho
ヘヘヒヘヒ,He-He-Hi-Hi-He
ふしぎな水鏡,Weird Water Mirror
はざまの扉,Threshold Door
中央地区ペコリア,Central Area Pekoria
達人トリスト,Master Trist
素材屋ルヒオ,Material Shop Ruhio
奉仕室ペコリア,Service Room Pekoria
冷眠室ペコリア,Cold Room Pekoria
動力室ペコリア,Power Room Pekoria
防衛魔神兵０５１号,Aztech Guard No. 051
オヤヤ,Oyaya
ラコツ,Rakotsu
ミュゼル,Myuzeru
きなこづち,Honeyhood
カレーサタン,Curry Imp
ヒッチハイクデビル,Hitchhike Devil
ちゃばしらこぞう,Tea Candle
はにわにんぎょう,Clay Mannequin
プリンセスニャン,Princess Cat
はくばのおうじ,Prince Harming
レインコート,Raincoat
アクロバット,Acro Bat
ガエリブ,Gaelib
キキミミ,Kikimimi
警備魔神兵０４９号,Aztech Guard No. 049
リリペア,Riripea
バフチョ,Bafcho
防衛魔神兵０５６号,Aztech Guard No. 056
ガラクタ映写機,Junk Film Projector
レース屋シャイラ,Race Shop Shyla
レース屋ダクル,Race Shop Duckle
お月サマー,Summer Moon
新作家具屋モルド,New Furniture Shop Mordo
交換屋ベディ,Exchange Shop Bedi
バトエンジャー,Batoenger
預かり所ティーチ,Storage Tichi
取引商ティニー,Trader Tiny
素材屋ティヨン,Material Shop Tyon
郵便局員ティゴ,Postman Tigo
便せん屋ツクシ,Paper Shop Tsukushi
郵便局員カンココ,Postman Kancoco
アスバル,Asbal
シリル,Cyril
フラフ,Fluff
エルガドーラ,Elgadora
ディレン,Dillan
レオニド,Leonid
リンベリィ,Linberry
ガラーテ,Galate
湖の魔獣ボルゲルグ,Lake Beast Volgerg
激昂の巨人レイジバルス,Furious Giant Rigibalus
コールドスリープ装置,Cryogenic Sleep Equipment
奉仕装置,Service Tool
超高性能スコップ,Ultra High Power Shovel
ダルチャン,Darchan
パルミオ博士,Dr. Palmio
ペコリア,Pekoria
ペンペル,Pempel
ハハホフ,Ha-Ha-Ho-Hu
ヒヘヘヒ,Hi-He-He-Hi
南地区ペコリア,South Area Pekoria
ヘヘヘヒ,He-He-He-Hi
東地区ペコリア,East Area Pekoria
シスターペコリア,Sister Pekoria
道具屋ホハフホ,Item Shop Ho-Ha-Hu-Ho
便せん屋ペコリア,Paper Shop Pekoria
郵便局員ヘヘヒヒ,Postman He-He-Hi-Hi
預かり所ペコリア,Storage Pekoria
取引商ハフフハ,Trader Ha-Hu-Hu-Ha
西地区ペコリア,West Area Pekoria
ホフハフ,Ho-Hu-Ha-Hu
ハハホホ,Ha-Ha-Ho-Ho
案内係ペコリア,Guide Pekoria
宿屋フハホフ,Innkeep Hu-Ho-Ha
神官ペコリア,Priest Pekoria
魔物管理人ペコリア,Monster Manager Pekoria
道具屋ペコリア,Item Shop Pekoria
ヒヘヒヒ,Hi-He-Hi-Hi
ホホハフ,Ho-Ho-Ha-Hu
療養地区ペコリア,Medical Area Pekoria
ホホフホ,Ho-Ho-Hu-Ho
フフフハ,Hu-Hu-Hu-Ha
ヘヒヘヘ,He-Hi-He-He
保育地区ペコリア,Nursery Area Pekoria
フハフ,Hu-Ha-Hu
ハホホ,Ha-Ho-Ho
若者の家ペコリア,Youth House Pekoria
ホホハ,Ho-Ho-Ha
フハホ,Hu-Ha-Ho
ヒヒヘ,Hi-Hi-He
ヘヒヒヒ,He-Hi-Hi-Hi
ホハハフ,Ho-Ha-Ha-Hu
ヒヒヘヘ,Hi-Hi-He-He
管理棟ペコリア,Admin Building Pekoria
ユシュカ,Yushka
宿屋プルツコ,Innkeep Plutko
ムヤル神父,Father Muyal
預かり所トッゴイ,Storage Togoi
道具屋チケタ,Item Shop Chiketa
取引商テチ,Trader Techi
太陽の弾,Sun Sphere
黒衣の剣士パドレ,Swordsman in Black Padre
ボレッチャ,Boretcha
ホーリージャミラス,Divine Jamirus
リースアクバー,Wreath Blackmar
ジングルグラコス,Jingle Gracos
ノエルデュラン,Christmas Dhuran
宿屋テテネネ,Innkeep Tetenene
紹介人ペタチョ,Introducer Petacho
神官チャタオ,Priest Chatao
預かり所ユチチ,Storage Yuchichi
道具屋テッカ,Item Shop Tekka
取引商アチャ,Trader Acha
魚交換員プルンパ,Fish Exchange Purunpa
魔物管理人スメメ,Monster Manager Sumeme
道具屋ゴッツオ,Item Shop Gotsuo
防衛魔神兵０５７号,Aztech Guard No. 057
防衛魔神兵０５９号,Aztech Guard No. 059
案内係タレレ,Guide Tarere
パヤノドン,Payanodon
チャルギ,Chargi
イレイザーＧｅ５０,Eraser GE50
キバチェ,Kibache
ララコネア,Laraconea
ツンカバ,Tunkaba
支援魔神機０２７号,Aztech Support Mech No. 027
労働魔神機０３８号,Aztech Labor Mech No. 038
ペルシャ猫,Persian Cat
支援魔神機０２９号,Aztech Support Mech No. 029
モグホルト,Mole Holt
モグルード,Mole Ludo
モグザック,Mole Zack
モグタンタ,Mole Tanta
モグッティ,Mole Thatty
ぬいぐるみ屋ビスカ,Plushie Shop Bisca
のぼりの扉,Door Going Up
くだりの扉,Door Going Down
解放の扉,Liberator Door
月の精霊,Moon Spirit
レシピ屋ルセット,Recipe Shop Ruseto
ボンツォ,Bonzo
娘の家ペコリア,Daughter Home Pekoria
研究室ペコリア,Laboratory Pekoria
警備係ペコリア,Guard Pekoria
パクレの正体,Pakul's True Form
魚交換員ペコリア,Fish Exchange Pekoria
紹介人ペコリア,Introducer Pekoria
モカ,Mocha
彫像家クラン,Statue Maker Kuran
大地の怒竜バウギア,Earthwyrm Baugia
首領プライド,Chief Pride
ミリー,Milly
情報屋ザップ,Info Shop Zapp
キンザ,Kinza
キャシュ,Cache
オッズ,Ozzu
ストロスの杖,Stolos' Staff
天使の涙,Angel Tears
割れた天使の涙,Cracked Angel Tears
ホヒホホ,Ho-Hi-Ho-Ho
ワグミカのソファ,Wagmika's Sofa
黄金のパラディン,Golden Paladin
星拳士ゼラン,Starfighter Zelan
漂流者キュレクス,Castaway Kyurex
シャム猫,Siamese Cat
ヴァレリアの馬,Valeria's Horse
殺りくのグレボス,Killer Grevos
気球受付係パルーン,Balloon Receptionist Paloon
ラダーズ,Radaz
ジゴモッド,Gigomod
アマンダ,Amanda
ドレルグ,Drelg
スラズマー,Slazumar
フンベロト,Hunbert
ギャラン,Galan
ザゴッティ,Zagotti
グリレッタ,Grilletta
デルデド,Delded
テマリ,Temari
コマ,Koma
代理人グラドマン,Agent Gladman
代理人ルーニア,Agent Runia
代理人ハヤテ,Agent Hayate
代理人ジェイダー,Agent Jayda
代理人レレッポ,Agent Releppo
ベルトロ,Bertro
ヤイル,Jair
バルゲル,Barger
アネラス,Anelas
ギサルメ,Gisalme
ジャンビ,Jambi
モルゲス,Morgess
ザクス,Zachs
ブージ,Buji
ラディウス,Radius
エントウ,Ento
オウトウ,Otto
ジャン,Jan
ドラム,Drum
ダボウ,Dabo
ナギ,Nagi
ボルグ,Borg
リズティ,Lizty
シウバ,Silva
ヒョード,Hyodo
デメトリ,Demetori
ローゼ,Rose
ギャビィ,Gabby
グレシア院長,Director Grecia
仙龍トトゴン,Dragon Totogon
メダリオ,Medaleo
茶色の柴犬,Brown Shiba Inu
廃棄端末プペコ,Old Terminal Pupeko
壁画管理ペコリア,Mural Management Pekoria
限定交換屋シュクル,Limited Exchange Shop Shukuru
育成受付係ブレダ,Training Reception Breda
ヴァレリア,Valeria
アーヴ,Avu
エムリヤ,Emria
魔物管理人モモノ,Monster Manager Sanguino
黄金のバディンド,Golden Badindo
キュロノス,Kyuronos
ザッド,Zad
リコッタ,Ricotta
ダコタ,Dakota
タタルコ,Tatarko
コーラット,Korat
女王ゼルメア,Queen Zelmea
封印の壺,Sealed Jar
時見の源泉,Timeseer Source
永久時環,Eternal Ring
ドミネウス王のマント,King Domineus' Cloak
キュルルのチョコ,Kyururu Chocolate
キュレクスのポッド,Kyurex's Pod
壊れた時見の箱,Broken Timeseer Box
メレアーデのリボン,Mereade Ribbon
苦い丸薬,Bitter Pills
ヘヘホハ,He-He-Ho-Ha
マデ氏族の祭司,Made Clan Priest
マデ氏族の男,Made Clansman
マデ氏族の女,Made Clanswoman
レトリウス王,King Retrius
軍団長室のソファ,Corps Commander's Sofa
ジャゴヌバの幻影,Illusion of Jagonuba
イルーシャ,Irusha
魔仙卿,Oracle
モモリオン王,Sanguini King
モモモ,Sanguin
ミッツ,Mitz
スラキチ,Slimekichi
モコモン,Furball
苦い丸薬の入ったビン,Bitter Pills Bottle
甘いシロップビン,Sweet Syrup Bottle
アリッホ,Ariho
ハハフル,Ha-Ha-Hu-Pa
時見の箱群,Timeseer Boxes
シュキエル,Shukiel
交換屋ウリル,Exchange Shop Uril
肖像画「調印」,"Signature" Portrait
肖像画「野心」,"Ambition" Portrait
肖像画「勇猛」,"Brave" Portrait
肖像画「講義」,"Lecture" Portrait
肖像画「学究の徒」,"Academic" Portrait
ミキ,Miki
タマゴ変換屋エギー,Egg Converter Eggy
ゴロン,Egg
玉子焼き,Omelet
レッドエッグ,Red Egg
ブルーエッグ,Blue Egg
グリーンエッグ,Green Egg
イエローエッグ,Yellow Egg
パープルエッグ,Purple Egg
玉子焼き弁当,Omelet Bento
切る前の玉子焼き,Uncut Omelet
ユシュカのズタ袋,Yushka's Bag
ユシュカの爆弾,Yushka's Bomb
住宅商ラネッタ,Realtor Lanetta
取引商チェボン,Trader Chebon
案内係レサニー,Guide Lesani
神官エワルト,Priest Ewalt
素材タネ屋ピード,Material Seed Shop Peid
紹介人カラリ,Introducer Kalari
便せん屋ヒナゲシ,Paper Shop Poppy
預かり所キーラル,Storage Keeral
アビスジュエル,Abyss Jewel
ソルバ,Sorba
メインクーン,Maine Coon
ブラシ,Brush
ホガートン,Hogerton
エルマー,Elmer
ロンノール,Ronnor
ディオニス,Dionis
イスヴィン,Isvin
テアノーテ,Theanote
リーヌス,Linus
アロイジア,Aloysia
ゲアト,Geatto
ハイノル,Hynor
カルラ,Carla
アウレール,Aurel
コロネリア,Coronelia
ルクバス,Lukubus
ジーマ,Zima
ドロステア,Drostea
ロルフ,Rolf
テオフィル,Theophyll
ザルムン,Zalmun
エルケトラ,Elketra
レギーナ,Regina
イーベル,Ebel
コンラート,Conrad
バルナバス,Barnabus
アデレーデ,Adelaide
ベルント,Berunto
ジークス,Jeeks
アガーテ,Agate
ディータ,Dita
ルドロッホ,Ludroch
エトムント,Etomund
ザームエル,Zamuel
アントン,Anton
アデリナ,Adelina
壊れたアストルティアのコンパス,Broken Astoltia Compass
徒弟ティグロ,Apprentice Tigro
気球,Balloon
盾島ヘの渡し舟,Ferry to Shield Isle
ガミルゴの石像,Gamilgo Stone Statue
ガミルゴの盾,Gamilgo's Shield
ヴァルディスタ兵１,Valdista Soldier 1
ヴァルディスタ兵２,Valdista Soldier 2
バニラ,Vanilla
レナ,Lena
ブチやん,Mottleyan
ヘルセン,Hellson
パサラン,Fluffy
パッフィー,Puffy
預かり所クリスタル,Storage Crystal
よろず屋アメジスト,General Shop Amethyst
アントワネット妃,Princess Antoinette
ガレー,Galley
アリスタ,Arista
ゼンテツ,Zentetsu
ジッテ,Jitte
ホーゲン,Hogen
シェール,Cher
アマッポ,Amappo
ガンバン,Ganban
パッタ,Patta
ボーラ,Bora
アンサ,Ansa
ショーデル,Shodel
リアサ,Riaza
紹介人ディーエ,Introducer Diei
ミゼリ,Mizeri
ウルミ,Urumi
デュロモ,Duromo
キスカ,Kisca
カトラ,Katra
ガドーチ,Gadochi
テイハ,Teiha
ブレイ,Bray
ゼンゼ,Zenze
バルディジニアの花,Valdia Zinnia Flowers
宿屋ザンドス,Innkeep Zandos
取引商ゼルマド,Trader Zelmad
猫パンチ（右手）,Cat Punch (Right Hand)
猫パンチ（左手）,Cat Punch (Left Hand)
アタッチ君十個,Ten Attachments
モンスター26,Monster 26
モンスター27,Monster 27
モンスター28,Monster 28
トゥゼク,Tuzek
闇商人グルジャ,Dark Merchant Ghulja
ラビソン,Rabison
闇商人バラギル,Dark Merchant Balagir
ヒュウガ,Hyuga
クロウ,Crow
バグざえもん,Bagzaemon
セイラ,Seira
ジャスミン,Jasmine
エルちゃん様,Miss El-chan
親方テンゴ,Boss Tengo
邪術師エイジャス,Evil-Doer Ajas
候補者Ｄ,Candidate D
邪眼の魔女レシア,Evil Eye Witch Reshia
剛拳王ナーグル,Sturdy King Nurgle
候補者Ｇ,Candidate G
魔伯爵シディア,Demon Count Cydia
漆黒の匪賊ギャレス,Black Bandit, Gareth
候補者Ｊ,Candidate J
ベルトロの部下Ｄ,Bertro Subordinate D
ナジーン,Nazine
ジルガモット,Jirgamot
武器屋カマアタ,Weapon Shop Kamata
防具屋ハリカラ,Armor Shop Harikara
クロラ,Crolla
シシカバブ,Shish Kebab
呪われたシシカバブ,Cursed Shish Kebab
スブラキ,Souvlaki
ムシカキ,Musikaki
サティ,Sati
ボンジリ,Bonjiri
スッテンテン,Suttenten
道具屋ソノラン,Item Shop Sonoran
素材屋コロレッド,Material Shop Coroled
料理屋モハビ,Server Mohabi
デモンズゲイト,Demon Zugei
便せん屋ヒメウズ,Paper Shop Himeuzu
イトクリ,Itokuri
シスター・リンネ,Sister Linne
レース屋ルミネ,Race Shop Lumine
レース屋ベンタ,Race Shop Venta
デロス,Delos
ふしぎな燭台・黄色,Yellow Mystery Candlestick
ふしぎな燭台・青色,Blue Mystery Candlestick
ふしぎな燭台・赤色,Red Mystery Candlestick
ふしぎな燭台・白色,White Mystery Candlestick
謎の大燭台,Mystery Candle
小さな異形獣,Small Odd Beast
モクアミ,Mokuami
ヨシトク,Yoshitoku
ジャゲンノ,Jagenno
ジマンジュ,Jumanju
ガニガニ,Gani Gani
ヤチャダチャ,Yachadacha
ホチャルカ,Hocharka
サザキ,Sazaki
ウィーハー,Weher
ヘックシ,Hekkushi
クシャーナ,Kushanah
ゴホゲン,Gohogene
クイニテ,Kuinitay
販売係ペコリア,Sales Clerk Pekoria
アビスゲート,Abyss Gate
オブジェクト座標191,Object Coordinates 191
オブジェクト座標192,Object Coordinates 192
オブジェクト座標193,Object Coordinates 193
オブジェクト座標194,Object Coordinates 194
オブジェクト座標195,Object Coordinates 195
オブジェクト座標196,Object Coordinates 196
オブジェクト座標197,Object Coordinates 197
オブジェクト座標198,Object Coordinates 198
